name,solution size,time,graph_size
basePRM,11,10.764744281768799,398
basePRM,12,20.75123906135559,398
basePRM,29,31.24077296257019,399
lazyPRM,2,1.4970803260803223,106
lazyPRM,2,2.154161214828491,46
lazyPRM,5,7.573216676712036,167
visibilityPRM,6,23.41874647140503,28
visibilityPRM,7,114.39164924621582,44
visibilityPRM,0,171.46790099143982,35
visibilityPRM_custom,0,0.047126054763793945,1
visibilityPRM_custom,3,7.5121331214904785,34
visibilityPRM_custom,4,22.297724723815918,59
